,country,year,NY.GDP.MKTP.CD,EN.ATM.CO2E.KT
0,Aruba,2019,3310055865.92179,
1,Afghanistan,2019,18799450742.7823,6079.99992370605
2,Angola,2019,69309104806.6311,25209.9990844727
3,Albania,2019,15401830754.0773,4829.99992370605
4,Andorra,2019,3155149347.80639,500.0
5,United Arab Emirates,2019,417215559513.364,188860.000610352
6,Argentina,2019,452818426182.658,168100.006103516
7,Armenia,2019,13619291361.2814,6170.00007629395
8,American Samoa,2019,648000000.0,
9,Antigua and Barbuda,2019,1687533333.33333,519.999980926514
10,Australia,2019,1391952510370.48,386529.998779297
11,Austria,2019,445011872704.47,64769.9966430664
12,Azerbaijan,2019,48174235294.1176,35509.9983215332
13,Burundi,2019,2581268125.78917,720.000028610229
14,Belgium,2019,535376258146.666,93010.0021362305
15,Benin,2019,14391686632.7821,7300.00019073486
16,Burkina Faso,2019,16178162030.0694,5000.0
17,Bangladesh,2019,351238438542.792,90739.9978637695
18,Bulgaria,2019,68915416141.9576,39139.9993896484
19,Bahrain,2019,38653318085.1064,33259.9983215332
20,"Bahamas, The",2019,13192800000.0,2839.99991416931
21,Bosnia and Herzegovina,2019,20201323282.5451,21069.9996948242
22,Belarus,2019,64409647193.8044,57669.9981689453
23,Belize,2019,1945250235.57603,639.999985694885
24,Bermuda,2019,7423465000.0,
25,Bolivia,2019,40895322850.9407,22340.0001525879
26,Brazil,2019,1873288158977.23,434299.987792969
27,Barbados,2019,5304164323.2532,1250.0
28,Brunei Darussalam,2019,13469422958.5105,6989.99977111816
29,Bhutan,2019,2535657069.05537,1049.99995231628
30,Botswana,2019,16695925027.1944,7250.0
31,Central African Republic,2019,2221301400.72468,239.999994635582
32,Canada,2019,1742015045482.31,580210.021972656
33,Switzerland,2019,731767398052.879,37380.0010681152
34,Chile,2019,278584733103.01,91370.002746582
35,China,2019,14279937500608.0,10707219.7265625
36,Cote d'Ivoire,2019,58539424929.7248,10829.9999237061
37,Cameroon,2019,39670977332.7348,9430.00030517578
38,"Congo, Dem. Rep.",2019,51775830725.8263,3210.00003814697
39,"Congo, Rep.",2019,12750338736.1661,7260.00022888184
40,Colombia,2019,323109543324.321,81040.0009155273
41,Comoros,2019,1195019559.09381,319.999992847443
42,Cabo Verde,2019,1981845740.70615,649.999976158142
43,Costa Rica,2019,64417670082.6127,8239.99977111816
44,Cuba,2019,103428000000.0,25909.9998474121
45,Curacao,2019,2995185487.30261,
46,Cayman Islands,2019,5943589095.55075,
47,Cyprus,2019,25758357774.5438,7190.00005722046
48,Czech Republic,2019,252498032247.163,96290.0009155273
49,Germany,2019,3888326788627.44,657400.024414063
50,Djibouti,2019,3088853638.56832,419.999986886978
51,Dominica,2019,611537037.037037,170.000001788139
52,Denmark,2019,347561349210.979,29700.0007629395
53,Dominican Republic,2019,88941299733.5018,27229.9995422363
54,Algeria,2019,171767403748.19,171250.0
55,Ecuador,2019,108108009000.0,39290.0009155273
56,"Egypt, Arab Rep.",2019,303080865603.645,249369.995117188
57,Eritrea,2019,,879.999995231628
58,Spain,2019,1393046093137.25,239979.995727539
59,Estonia,2019,31045591753.4901,10180.0003051758
60,Ethiopia,2019,95912590628.1412,18360.0006103516
61,Finland,2019,268508200125.49,40709.9990844727
62,Fiji,2019,5496264765.78411,1629.99999523163
63,France,2019,2728870246705.88,300519.989013672
64,Faroe Islands,2019,3268839775.69197,
65,"Micronesia, Fed. Sts.",2019,412479413.362129,180.000007152557
66,Gabon,2019,16874405839.7948,5250.0
67,United Kingdom,2019,2878673912414.44,348920.013427734
68,Georgia,2019,17470436258.5131,10109.9996566772
69,Ghana,2019,68337537815.7703,20040.0009155273
70,Gibraltar,2019,,
71,Guinea,2019,13442861443.7506,3950.00004768372
72,"Gambia, The",2019,1813608279.65044,579.999983310699
73,Guinea-Bissau,2019,1439638443.38133,330.000013113022
74,Equatorial Guinea,2019,11364134108.6175,5349.99990463257
75,Greece,2019,205144152830.847,60000.0
76,Grenada,2019,1213485185.18519,330.000013113022
77,Greenland,2019,2994332323.74726,
78,Guatemala,2019,77020015201.3201,19309.9994659424
79,Guam,2019,6364000000.0,
80,Guyana,2019,5173760191.84652,2849.99990463257
81,"Hong Kong SAR, China",2019,363052489184.395,
82,Honduras,2019,25089976946.7736,10220.0002670288
83,Croatia,2019,62246206340.5469,16520.0004577637
84,Haiti,2019,14785839382.9002,3319.9999332428
85,Hungary,2019,163526491433.29,46380.0010681152
86,Indonesia,2019,1119099868265.25,619840.026855469
87,Isle of Man,2019,7315388052.08067,
88,India,2019,2831552222519.99,2456300.04882813
89,Ireland,2019,399122063504.148,35750.0
90,"Iran, Islamic Rep.",2019,291362916336.415,630010.009765625
91,Iraq,2019,233636097800.338,174559.997558594
92,Iceland,2019,24857740445.0401,1639.99998569489
93,Israel,2019,397934596952.56,62650.0015258789
94,Italy,2019,2011285742552.15,317239.990234375
95,Jamaica,2019,15830768549.8916,8390.00034332275
96,Jordan,2019,44502895915.493,24629.9991607666
97,Japan,2019,5123318151510.62,1081569.94628906
98,Kazakhstan,2019,181667190075.541,212110.000610352
99,Kenya,2019,100379713697.421,22280.0006866455
100,Kyrgyz Republic,2019,8871026074.19762,10050.0001907349
101,Cambodia,2019,27089389786.979,16180.0003051758
102,Kiribati,2019,177935349.322211,90.0000035762787
103,St. Kitts and Nevis,2019,1164877851.85185,250.0
104,"Korea, Rep.",2019,1651422932447.77,610789.978027344
105,Kuwait,2019,136196760180.976,92650.0015258789
106,Lao PDR,2019,18740559554.1632,18709.9990844727
107,Lebanon,2019,51605959131.3385,27950.0007629395
108,Liberia,2019,3319596500.0,1179.99994754791
109,Libya,2019,69252306372.0232,56799.9992370605
110,St. Lucia,2019,2118791548.14815,540.000021457672
111,Liechtenstein,2019,6427248943.44939,150.000005960464
112,Sri Lanka,2019,83902574442.8014,23780.0006866455
113,Lesotho,2019,2451257578.69383,769.999980926514
114,Lithuania,2019,54697379017.3332,11729.9995422363
115,Luxembourg,2019,70195715495.5136,9489.99977111816
116,Latvia,2019,34308783825.3019,7570.00017166138
117,"Macao SAR, China",2019,55204758069.5124,
118,St. Martin (French part),2019,,
119,Morocco,2019,119870439113.662,71480.0033569336
120,Monaco,2019,7383745662.15157,
121,Moldova,2019,11971345002.7757,8859.99965667725
122,Madagascar,2019,14191911512.0465,4119.99988555908
123,Maldives,2019,5607762625.14627,2109.99989509583
124,Mexico,2019,1269404276770.7,449269.989013672
125,Marshall Islands,2019,239462200.0,180.000007152557
126,North Macedonia,2019,12606338448.547,8300.00019073486
127,Mali,2019,17280250805.2245,5829.99992370605
128,Malta,2019,15719500920.5362,1659.9999666214
129,Myanmar,2019,68697759361.231,36720.0012207031
130,Montenegro,2019,5542201150.91048,2599.99990463257
131,Mongolia,2019,14206359006.8095,23069.9996948242
132,Northern Mariana Islands,2019,1182000000.0,
133,Mozambique,2019,15390031039.9957,7500.0
134,Mauritania,2019,7889655284.47161,3950.00004768372
135,Mauritius,2019,14045808843.221,4170.00007629395
136,Malawi,2019,11025370768.8135,1450.00004768372
137,Malaysia,2019,365276379480.99,253270.004272461
138,Namibia,2019,12543203410.6928,4219.99979019165
139,New Caledonia,2019,9438130987.37298,
140,Niger,2019,12916455161.1081,2150.00009536743
141,Nigeria,2019,448120428858.769,115279.998779297
142,Nicaragua,2019,12596636042.2321,5239.99977111816
143,Netherlands,2019,910194347568.626,146339.996337891
144,Norway,2019,404941363636.364,35950.0007629395
145,Nepal,2019,34186190995.9565,13449.9998092651
146,Nauru,2019,118724073.809183,59.9999986588955
147,New Zealand,2019,213434571357.984,34009.9983215332
148,Oman,2019,88060858257.4772,76029.9987792969
149,Pakistan,2019,320909489229.723,190570.007324219
150,Panama,2019,66984427200.0,13340.0001525879
151,Peru,2019,228323495040.901,56750.0
152,Philippines,2019,376823278561.196,145419.998168945
153,Palau,2019,274200000.0,250.0
154,Papua New Guinea,2019,24751344560.8856,7579.99992370605
155,Poland,2019,597280564671.563,295130.004882813
156,Puerto Rico,2019,104914600000.0,
157,"Korea, Dem. People's Rep.",2019,,56040.0009155273
158,Portugal,2019,239986922638.902,44639.9993896484
159,Paraguay,2019,37925338329.156,8210.00003814697
160,West Bank and Gaza,2019,17133500000.0,
161,French Polynesia,2019,6008055247.77908,
162,Qatar,2019,175837550996.185,91970.0012207031
163,Romania,2019,249881592298.072,73949.9969482422
164,Russian Federation,2019,1693113904262.89,1703589.96582031
165,Rwanda,2019,10356327149.4262,1330.00004291534
166,Saudi Arabia,2019,803616264791.024,523780.029296875
167,Sudan,2019,32338079165.2893,20620.0008392334
168,Senegal,2019,23398811423.578,10619.9998855591
169,Singapore,2019,375472731271.075,47380.0010681152
170,Solomon Islands,2019,1570093229.25588,360.000014305115
171,Sierra Leone,2019,4076578542.56207,899.999976158142
172,El Salvador,2019,26896660000.0,7800.00019073486
173,San Marino,2019,1616231696.0486,
174,Somalia,2019,6476674591.87472,689.999997615814
175,Serbia,2019,51514222381.8428,45950.0007629395
176,South Sudan,2019,,1700.00004768372
177,Sao Tome and Principe,2019,427425039.684339,150.000005960464
178,Suriname,2019,3984483762.37123,2650.00009536743
179,Slovak Republic,2019,105284375640.698,31079.9999237061
180,Slovenia,2019,54178877605.9999,13600.0003814697
181,Sweden,2019,533879529188.454,35000.0
182,Eswatini,2019,4466066557.37957,959.999978542328
183,Sint Maarten (Dutch part),2019,,
184,Seychelles,2019,1684228528.67297,610.000014305115
185,Syrian Arab Republic,2019,,25709.9990844727
186,Turks and Caicos Islands,2019,1197415000.0,
187,Chad,2019,11314951342.7807,2250.0
188,Togo,2019,7220395247.7424,2369.99988555908
189,Thailand,2019,544081056184.697,267089.996337891
190,Tajikistan,2019,8300784856.87904,9420.00007629395
191,Turkmenistan,2019,45231428571.4286,72870.002746582
192,Timor-Leste,2019,2047931700.0,620.000004768372
193,Tonga,2019,512350059.421629,159.999996423721
